CustomerID,Monetary,Recency,Frequency,cluster
17791,106.1,51,10,cluster1
13184,1394.85,36,141,cluster1
13824,1593.94,54,43,cluster1
16692,1126,278,2,cluster3
12778,642.26,41,40,cluster1
14015,917.34,74,20,cluster1
15904,164.68,30,30,cluster1
16902,1706.88,138,44,cluster2
16063,335.32,282,23,cluster3
13104,1098.48,25,20,cluster1
15696,2567.61,55,161,cluster1
14576,35.4,394,1,cluster3
12473,2344.4,75,144,cluster1
15809,515.77,58,35,cluster1
14177,533.56,108,36,cluster1
13203,771.95,31,51,cluster1
13518,659.44,107,38,cluster1
15321,2748.31,92,95,cluster1
15225,374,256,22,cluster3
17703,798.74,57,55,cluster1
13645,252.1,142,5,cluster2
16226,241.2,225,7,cluster2
14282,3166.12,25,142,cluster1
17043,1610.06,54,92,cluster1
13995,1383.49,37,85,cluster1
13936,318.28,201,22,cluster2
16838,530.65,219,22,cluster2
14761,236.1,80,10,cluster1
15032,3780.7,278,45,cluster3
16688,1190.36,23,59,cluster1
14638,443.6,72,16,cluster1
13376,799.86,121,44,cluster2
17861,2027.45,25,215,cluster1
13832,52.2,41,3,cluster1
17148,124.88,73,9,cluster1
13149,1572.5,36,77,cluster1
14639,2968.59,74,171,cluster1
15835,874.79,66,46,cluster1
13838,629.92,27,158,cluster1
18235,1755.28,93,102,cluster1
16956,308.74,39,16,cluster1
13200,823.89,41,43,cluster1
12574,182.45,337,10,cluster3
16048,256.44,395,8,cluster3
16442,594.02,23,166,cluster1
15150,4997.03,39,320,cluster1
14844,2171.95,85,116,cluster1
12729,417.01,135,25,cluster2
15717,68.1,256,3,cluster3
12920,161.28,39,27,cluster1
14779,366.15,302,37,cluster3
17884,661,25,107,cluster1
14821,48.8,388,2,cluster3
13127,226.47,99,13,cluster1
12359,6205.08,79,241,cluster1
14785,47.4,32,2,cluster1
16597,90.04,26,7,cluster1
14954,320.84,34,79,cluster1
17362,292.98,261,32,cluster3
12812,229.64,66,15,cluster1
14606,10562.49,23,2347,cluster1
16354,395.8,85,39,cluster1
18241,1841.29,31,93,cluster1
18069,1859.92,48,419,cluster1
17274,111.98,57,27,cluster1
17802,921.64,104,101,cluster1
12994,878.74,26,52,cluster1
18129,106.25,265,11,cluster3
15852,160.71,208,22,cluster2
16412,119.58,75,30,cluster1
17750,1548.43,27,158,cluster1
15133,574.72,149,20,cluster2
17231,2495.17,34,437,cluster1
14593,520,43,138,cluster1
17619,189.17,334,65,cluster3
15091,459.91,89,29,cluster1
15807,846.9,72,45,cluster1
16722,4381.81,39,205,cluster1
16569,113.7,25,4,cluster1
16735,1931.51,100,110,cluster1
14594,362.38,29,49,cluster1
18242,2205.69,94,76,cluster1
14540,962.06,31,74,cluster1
14533,1933.92,46,61,cluster1
14646,265106.92,23,1987,cluster1
13897,296.16,72,16,cluster1
16317,1320.65,141,67,cluster2
13431,1269.1,89,46,cluster1
17969,228.2,188,14,cluster2
16483,134.4,214,18,cluster2
16843,9372.3,64,344,cluster1
17709,137.45,191,7,cluster2
15903,4046.76,31,66,cluster1
13636,832.72,58,56,cluster1
17988,159.22,33,36,cluster1
18161,1458.49,37,72,cluster1
14768,192.6,39,5,cluster1
16721,261.77,284,33,cluster3
15517,247.11,255,23,cluster3
13034,642.77,76,37,cluster1
18081,343.45,58,17,cluster1
16934,814.43,76,55,cluster1
14735,5746.49,25,185,cluster1
16432,271.5,86,7,cluster1
14714,160.19,46,10,cluster1
17230,3397.21,286,66,cluster3
17017,8694.26,24,252,cluster1
14245,1554.07,241,99,cluster2
12707,603.42,313,33,cluster3
14267,1463.14,184,52,cluster2
14543,3419.88,50,61,cluster1
12458,731.9,93,33,cluster1
